Clave Municipio,Colonia,OC Identificada,Acumulado,2023 a 2025
2004, Castillo,Cártel Jalisco Nueva Generación,1,
2004, Chamizal,Cártel de Los Arellano Félix,1,
2004, Chapultepec Alamar,Cártel de Sinaloa,1,
2004, Chapultepec Alamar,Cártel Jalisco Nueva Generación,1,
2004, El Florido I,Cártel de Sinaloa,1,
2004, El Florido I,Cártel Jalisco Nueva Generación,1,
2004, El Realito,Cártel de Los Arellano Félix,1,
2004, El Refugio,Cártel de Sinaloa,1,
2004, El Refugio,Cártel Jalisco Nueva Generación,1,
2004, Emperadores,Cártel de Ensenada,1,
2004, Emperadores,Cártel de Sinaloa,1,
2004, Fundador,Cártel de Los Arellano Félix,1,
2004, Gabilondo,Los Arzate,1,
2004, Guadalajara,Cártel Jalisco Nueva Generación,1,
2004, Hipódromo Dos,Cártel Jalisco Nueva Generación,1,
2004, Industrial Pacífico I,Cártel de Los Arellano Félix,1,
2004, Industrial Pacífico I,Cártel Jalisco Nueva Generación,1,
2004, INFONAVIT L,Cártel Jalisco Nueva Generación,1,
2004, La Ciénega,Cártel de Los Arellano Félix,1,
2004, La Gloria,Cártel de Los Arellano Félix,1,
2004, La Gloria,Cártel de Sinaloa (Los Zambada),1,
2004, La Gloria,Cártel Jalisco Nueva Generación,1,
2004, Lagunitas,Cártel de Los Arellano Félix,1,
2004, Lagunitas,Cártel Jalisco Nueva Generación,1,
2004, Libertad,Cártel de Los Arellano Félix,1,
2004, Libertad,Cártel de Sinaloa,1,
2004, Los Laureles,Cártel de Sinaloa,1,
2004, Mariano Matamoros (Centro),Cártel de Sinaloa (Los Zambada),1,
2004, Montes Olímpicos,Los Arzate,1,
2004, Nido de las Águilas,La Gente de Aquiles,1,
2004, Nueva Tijuana,La Gente de Aquiles,1,
2004, Otay Centenerio,Cártel de Los Arellano Félix,1,
2004, Otay Jardín,La Gente de Aquiles,1,
2004, Playas de Tijuana Sección Jardines,Cártel de Los Arellano Félix,1,
2004, Playas de Tijuana Sección Jardines,Cártel de Sinaloa,1,
2004, Playas de Tijuana Sección Jardines,Cártel Jalisco Nueva Generación,1,
2004, Playas de Tijuana Vistamar,Cártel de Los Arellano Félix,1,
2004, Pórticos de Tijuana,Los Arzate,1,
2004, Reforma,Cártel de Sinaloa (Los Zambada),1,
