original_index,Municipio,Presidente Municipal,Inicio,Conclusión,full_code,firstname,lastname1,lastname2
154,Loreto,JORGE ALBERTO AVILÉS PÉREZ,2011-04-30,2015-09-26,3009,Jorge Alberto,Avilés,Pérez
155,Loreto,ARELY ARCE PERALTA,2015-09-27,2021-09-24,3009,Arely,Arce,Peralta
156,Loreto,PAOLA MARGARITA COTA DAVIS,2021-09-25,2024-09-24,3009,Paola Margarita,Cota,Davis
157,Calkiní,SONIA JACQUELINE CUEVAS KANTUN,2000-10-01,2003-09-30,4001,Sonia Jacqueline,Cuevas,Kantun
158,Calkiní,MARTHA PATRICIA GARCIA,2003-10-01,2006-09-30,4001,Martha,Patricia,Garcia
159,Calkiní,JORGE ANTONIO COCON COLLI,2006-10-01,2009-09-30,4001,Jorge Antonio,Cocon,Colli
160,Calkiní,CARLOS EDUARDO SANGUINO CARRIL,2009-10-01,2012-09-30,4001,Carlos Eduardo,Sanguino,Carril
161,Calkiní,VICTOR HUGO BALTAZAR RODRIGUEZ,2012-10-01,2015-09-30,4001,Victor Hugo,Baltazar,Rodriguez
162,Calkiní,JOSE EMILIANO CANUL AKE,2015-10-01,2018-09-30,4001,Jose Emiliano,Canul,Ake
163,Calkiní,ROQUE JACINTO SANCHEZ GOLIB,2018-10-01,2021-09-30,4001,Roque Jacinto,Sanchez,Golib
164,Calkiní,MILTÓN ULISES MILLÁN ATOCHE,2024-10-01,2027-09-30,4001,Miltón Ulises,Millán,Atoche
165,Campeche,FERNANDO EUTIMIO ORTEGA BERNES,2003-10-01,2006-09-30,4002,Fernando Eutimio,Ortega,Bernes
166,Campeche,CARLOS OZNEROL PACHECO CASTRO,2006-10-01,2009-09-30,4002,Carlos Oznerol,Pacheco,Castro
167,Campeche,BEATRIZ SELEM TRUEBA,2009-10-01,2012-09-30,4002,Beatriz,Selem,Trueba
168,Campeche,ANA MARTHA ESCALANTE CASTILLO,2012-10-01,2015-09-30,4002,Ana Martha,Escalante,Castillo
169,Campeche,EDGAR ROMAN HERNANDEZ HERNANDEZ,2015-10-01,2018-09-30,4002,Edgar Roman,Hernandez,Hernandez
170,Campeche,ELISEO FERNANDEZ MONTUFAR,2018-10-01,2021-09-30,4002,Eliseo,Fernandez,Montufar
171,Carmen,SEBASTIAN CALDERON CENTENO,2000-10-01,2003-09-30,4003,Sebastian,Calderon,Centeno
172,Carmen,JORGE ROSIÑOL ABREU,2003-10-01,2006-09-30,4003,Jorge,Rosiñol,Abreu
173,Carmen,JOSE IGNACIO SEARA SIERRA,2006-10-01,2009-09-30,4003,Jose Ignacio,Seara,Sierra
174,Carmen,ARACELY ESCALANTE JASSO,2009-10-01,2012-09-30,4003,Aracely,Escalante,Jasso
